ID,FirstName,LastName,Grade,GPA,BirthDate,Gender,ClassRank,AttendPct,Honors,Sports,ClubCount
ID,FirstName,LastName,,Gra,de GPA   B,i,rth,Date   Ge,n,der Class,Rank Att
0001,John,Smith,,09,3.85  2,0,09-,05-12  M,,045,97.3
0002,Emily,Johnson,,12,4.00  2,0,06-,11-03  F,,001,99.1
0003,Michael,Williams,,10,3.42  2,0,08-,07-22  M,,078,94.5
0004,Jessica,Brown,,11,3.78  2,0,07-,03-15  F,,032,98.0
0005,David,Jones,,09,3.21  2,0,09-,01-30  M,,103,92.7
0006,Sarah,Garcia,,12,3.95  2,0,06-,09-17  F,,003,99.5
0007,Christopher,Miller,,10,3.33  2,0,08-,04-05  M,,089,93.2
0008,Amanda,Davis,,11,3.88  2,0,07-,08-26  F,,022,98.7
0009,Matthew,Rodriguez,,09,3.45  2,0,09-,07-11  M,,076,95.1
0010,Jennifer,Martinez,,12,3.92  2,0,06-,12-09  F,,007,97.9
0011,Joshua,Hernandez,,10,3.65  2,0,08-,02-14  M,,051,96.3
0012,Ashley,Lopez,,11,3.21  2,0,07-,11-20  F,,097,91.5
0013,Daniel,Gonzalez,,09,3.79  2,0,09-,04-03  M,,037,97.5
0014,Stephanie,Wilson,,12,3.51  2,0,06-,08-27  F,,056,94.8
0015,Andrew,Anderson,,10,3.24  2,0,08-,06-18  M,,099,90.7
0016,Melissa,Thomas,,11,3.98  2,0,07-,01-31  F,,012,99.3
0017,James,Taylor,,09,3.41  2,0,09-,09-22  M,,081,93.4
0018,Nicole,Moore,,12,3.85  2,0,06-,05-14  F,,018,97.6
0019,Ryan,Jackson,,10,3.72  2,0,08-,11-09  M,,043,96.8
0020,Heather,Martin,,11,3.15  2,0,07-,07-25  F,,105,89.5
0021,Brandon,Lee,,09,3.95  2,0,09-,03-05  M,,015,98.9
0022,Rachel,Perez,,12,3.48  2,0,06-,10-11  F,,062,94.2
0023,Jason,Thompson,,10,3.37  2,0,08-,01-29  M,,085,92.1
0024,Lauren,White,,11,3.99  2,0,07-,05-17  F,,002,99.8
0025,Justin,Harris,,09,3.22  2,0,09-,08-09  M,,107,90.3
0026,Elizabeth,Sanchez,,12,3.75  2,0,06-,02-23  F,,034,96.5
0027,Kevin,Clark,,10,3.44  2,0,08-,09-10  M,,074,93.7
0028,Rebecca,Ramirez,,11,3.84  2,0,07-,04-01  F,,026,97.2
0029,Steven,Lewis,,09,3.11  2,0,09-,12-15  M,,115,88.9
